"Country","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Year"
"Norway",1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,"0.315963835",2017
"Denmark",2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,"0.400770068",2017
"Iceland",3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,"0.153526559",2017
"Switzerland",4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,"0.367007285",2017
"Finland",5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,"0.382611543",2017
"Netherlands",6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,"0.282661825",2017
"Canada",7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,"0.287371516",2017
"New Zealand",8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,"0.382816702",2017
"Sweden",9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,"0.384398729",2017
"Australia",10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,"0.30118373",2017
"Israel",11,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,"0.0852421",2017
"Costa Rica",12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,"0.100106589",2017
"Austria",13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,"0.221060365",2017
"United States",14,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,"0.135638788",2017
"Ireland",15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,"0.298388153",2017
"Germany",16,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,"0.276731938",2017
"Belgium",17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,"0.251343131",2017
"Luxembourg",18,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,"0.318834424",2017
"United Kingdom",19,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,"0.265428066",2017
"Chile",20,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,"0.082287982",2017
"United Arab Emirates",21,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,"0.324489564",2017
"Brazil",22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,"0.111092761",2017
"Czech Republic",23,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,"0.036872927",2017
"Argentina",24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,"0.059739888",2017
"Mexico",25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,"0.132774115",2017
"Singapore",26,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,"0.464307785",2017
"Malta",27,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,"0.153066069",2017
"Uruguay",28,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,"0.178061873",2017
"Guatemala",29,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,"0.077223279",2017
"Panama",30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,"0.070983924",2017
"France",31,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,"0.172502428",2017
"Thailand",32,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,"0.031612735",2017
"Taiwan Province of China",33,6.421999931,1.433626533,1.384565353,0.793984234,0.361466587,0.258360475,"0.063829236",2017
"Spain",34,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,"0.070914097",2017
"Qatar",35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,"0.439299256",2017
"Colombia",36,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,"0.046668742",2017
"Saudi Arabia",37,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,"0.273432255",2017
"Trinidad and Tobago",38,6.168000221,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,"0.008964816",2017
"Kuwait",39,6.105000019,1.632952452,1.259698749,0.632105708,0.496337593,0.228289798,"0.21515955",2017
"Slovakia",40,6.09800005,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,"0.024210852",2017
"Bahrain",41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,"0.25704217",2017
"Malaysia",42,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,"0.065600708",2017
"Nicaragua",43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,"0.130687982",2017
"Ecuador",44,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,"0.140134647",2017
"El Salvador",45,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,"0.08998096",2017
"Poland",46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,"0.059307806",2017
"Uzbekistan",47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,"0.246528223",2017
"Italy",48,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,"0.028028091",2017
"Russia",49,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,"0.032962881",2017
"Belize",50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,"0.096581072",2017
"Japan",51,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,"0.163760737",2017
"Lithuania",52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,"0.011865643",2017
"Algeria",53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,"0.14609611",2017
"Latvia",54,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,"0.073842727",2017
"South Korea",55,5.837999821,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,"0.063282669",2017
"Moldova",56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,"0.010091286",2017
"Romania",57,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,"0.004387901",2017
"Bolivia",58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,"0.060477726",2017
"Turkmenistan",59,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,"0.25927034",2017
"Kazakhstan",60,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,"0.119282886",2017
"North Cyprus",61,5.809999943,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,"0.155353352",2017
"Slovenia",62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,"0.045128979",2017
"Peru",63,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,"0.047049087",2017
"Mauritius",64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,"0.042181555",2017
"Cyprus",65,5.620999813,1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,"0.041237976",2017
"Estonia",66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,"0.183248922",2017
"Belarus",67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,"0.156313822",2017
"Libya",68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,"0.09261021",2017
"Turkey",69,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,"0.09967158",2017
"Paraguay",70,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,"0.091065913",2017
"Hong Kong S.A.R., China",71,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,"0.293933749",2017
"Philippines",72,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,"0.099331893",2017
"Serbia",73,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,"0.040903781",2017
"Jordan",74,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,"0.119803272",2017
"Hungary",75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,"0.036636937",2017
"Jamaica",76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,"0.055267781",2017
"Croatia",77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,"0.04310311",2017
"Kosovo",78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,"0.057471618",2017
"China",79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,"0.022794275",2017
"Pakistan",80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,"0.124348067",2017
"Indonesia",81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,"0.015317135",2017
"Venezuela",82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,"0.064491123",2017
"Montenegro",83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,"0.088174194",2017
